year,areakm,municipality,geocode_ibge,state
2008,0,Brasiléia,1200104,Acre
2009,0,Brasiléia,1200104,Acre
2010,0,Brasiléia,1200104,Acre
2011,0,Brasiléia,1200104,Acre
2012,0,Brasiléia,1200104,Acre
2013,0,Brasiléia,1200104,Acre
2014,0,Brasiléia,1200104,Acre
2015,0,Brasiléia,1200104,Acre
2016,0,Brasiléia,1200104,Acre
2017,0.005889235941677157,Brasiléia,1200104,Acre
2018,0.005889235941677157,Brasiléia,1200104,Acre
2019,0,Brasiléia,1200104,Acre
2020,0,Brasiléia,1200104,Acre
2021,0,Brasiléia,1200104,Acre
2022,0,Brasiléia,1200104,Acre
2023,0,Brasiléia,1200104,Acre
2000,0,Bujari,1200138,Acre
2001,0,Bujari,1200138,Acre
2002,0,Bujari,1200138,Acre
2003,0,Bujari,1200138,Acre
2004,0,Bujari,1200138,Acre
2005,0,Bujari,1200138,Acre
2006,0,Bujari,1200138,Acre
2007,0,Bujari,1200138,Acre
2008,0,Bujari,1200138,Acre
2009,0,Bujari,1200138,Acre
2010,0,Bujari,1200138,Acre
2011,0,Bujari,1200138,Acre
2012,0,Bujari,1200138,Acre
2013,0,Bujari,1200138,Acre
2014,0,Bujari,1200138,Acre
2015,0,Bujari,1200138,Acre
2016,0,Bujari,1200138,Acre
2017,0,Bujari,1200138,Acre
2018,0,Bujari,1200138,Acre
2019,0,Bujari,1200138,Acre
2020,0,Bujari,1200138,Acre
2021,0,Bujari,1200138,Acre
2022,0,Bujari,1200138,Acre
2023,0,Bujari,1200138,Acre
2000,0,Capixaba,1200179,Acre
2001,0,Capixaba,1200179,Acre
2002,0,Capixaba,1200179,Acre
2003,0,Capixaba,1200179,Acre
2004,0,Capixaba,1200179,Acre
2005,0,Capixaba,1200179,Acre
2006,0,Capixaba,1200179,Acre
2007,0,Capixaba,1200179,Acre
2008,0,Capixaba,1200179,Acre
2009,0,Capixaba,1200179,Acre
2010,0,Capixaba,1200179,Acre
2011,0,Capixaba,1200179,Acre
2012,0,Capixaba,1200179,Acre
2013,0,Capixaba,1200179,Acre
2014,0,Capixaba,1200179,Acre
2015,0,Capixaba,1200179,Acre
2016,0,Capixaba,1200179,Acre
2017,0,Capixaba,1200179,Acre
2018,0,Capixaba,1200179,Acre
2019,0,Capixaba,1200179,Acre
2020,0,Capixaba,1200179,Acre
2021,0,Capixaba,1200179,Acre
2022,0,Capixaba,1200179,Acre
2023,0,Capixaba,1200179,Acre
2000,0.2259291240037349,Cruzeiro do Sul,1200203,Acre
2001,0.007365314044538794,Cruzeiro do Sul,1200203,Acre
2002,0.007365314044538794,Cruzeiro do Sul,1200203,Acre
2003,0.014475249797990156,Cruzeiro do Sul,1200203,Acre
2004,0.014475249797990156,Cruzeiro do Sul,1200203,Acre
2005,0.03250890798926727,Cruzeiro do Sul,1200203,Acre
2006,0.03250890798926727,Cruzeiro do Sul,1200203,Acre
2007,0.03048190798669192,Cruzeiro do Sul,1200203,Acre
2008,0.03048190798669192,Cruzeiro do Sul,1200203,Acre
2009,0.06697408115203679,Cruzeiro do Sul,1200203,Acre
2010,0.06697408115203679,Cruzeiro do Sul,1200203,Acre
2011,0.06252518169976332,Cruzeiro do Sul,1200203,Acre
2012,0.06252518169976332,Cruzeiro do Sul,1200203,Acre
2013,0.06252518169976332,Cruzeiro do Sul,1200203,Acre
2014,0.06946542320895857,Cruzeiro do Sul,1200203,Acre
2015,0.006831687477897355,Cruzeiro do Sul,1200203,Acre
2016,0.006831687477897355,Cruzeiro do Sul,1200203,Acre
2017,0.0847045472470524,Cruzeiro do Sul,1200203,Acre
2018,0.0847045472470524,Cruzeiro do Sul,1200203,Acre
2019,0.11039231148291154,Cruzeiro do Sul,1200203,Acre
2020,0.1027926993993466,Cruzeiro do Sul,1200203,Acre
2021,0.03471824249392451,Cruzeiro do Sul,1200203,Acre
2022,0.037335782064052296,Cruzeiro do Sul,1200203,Acre
2023,0.049953545701403174,Cruzeiro do Sul,1200203,Acre
2000,0,Epitaciolândia,1200252,Acre
2001,0,Epitaciolândia,1200252,Acre
2002,0,Epitaciolândia,1200252,Acre
2003,0,Epitaciolândia,1200252,Acre
2004,0,Epitaciolândia,1200252,Acre
2005,0,Epitaciolândia,1200252,Acre
2006,0,Epitaciolândia,1200252,Acre
2007,0,Epitaciolândia,1200252,Acre
2008,0,Epitaciolândia,1200252,Acre
2009,0,Epitaciolândia,1200252,Acre
2010,0,Epitaciolândia,1200252,Acre
2011,0,Epitaciolândia,1200252,Acre
2012,0,Epitaciolândia,1200252,Acre
2013,0,Epitaciolândia,1200252,Acre
2014,0,Epitaciolândia,1200252,Acre
2015,0,Epitaciolândia,1200252,Acre
2016,0,Epitaciolândia,1200252,Acre
2017,0,Epitaciolândia,1200252,Acre
2018,0,Epitaciolândia,1200252,Acre
2019,0,Epitaciolândia,1200252,Acre
2020,0,Epitaciolândia,1200252,Acre
2021,0,Epitaciolândia,1200252,Acre
2022,0,Epitaciolândia,1200252,Acre
2023,0,Epitaciolândia,1200252,Acre
2000,0.10158251304576435,Feijó,1200302,Acre
2001,0,Feijó,1200302,Acre
2002,0,Feijó,1200302,Acre
2003,0.07435760016329372,Feijó,1200302,Acre
2004,0.07435760016329372,Feijó,1200302,Acre
2005,0,Feijó,1200302,Acre
2006,0,Feijó,1200302,Acre
2007,0,Feijó,1200302,Acre
2008,0,Feijó,1200302,Acre
2009,0,Feijó,1200302,Acre
2010,0,Feijó,1200302,Acre
2011,0,Feijó,1200302,Acre
2012,0,Feijó,1200302,Acre
2013,0,Feijó,1200302,Acre
2014,0,Feijó,1200302,Acre
2015,0.0055775258278575775,Feijó,1200302,Acre
2016,0.0055775258278575775,Feijó,1200302,Acre
2017,0.007710392444181254,Feijó,1200302,Acre
2018,0.007710392444181254,Feijó,1200302,Acre
2019,0,Feijó,1200302,Acre
2020,0,Feijó,1200302,Acre
2021,0,Feijó,1200302,Acre
2022,0,Feijó,1200302,Acre
2023,0,Feijó,1200302,Acre
2000,0,Jordão,1200328,Acre
2001,0,Jordão,1200328,Acre
2002,0,Jordão,1200328,Acre
2003,0.01771258123513866,Jordão,1200328,Acre
2004,0.01771258123513866,Jordão,1200328,Acre
2005,0.015425096534161634,Jordão,1200328,Acre
2006,0.015425096534161634,Jordão,1200328,Acre
2007,0,Jordão,1200328,Acre
2008,0,Jordão,1200328,Acre
2009,0,Jordão,1200328,Acre
2010,0,Jordão,1200328,Acre
2011,0.003790182799958133,Jordão,1200328,Acre
2012,0.003790182799958133,Jordão,1200328,Acre
2013,0.003790182799958133,Jordão,1200328,Acre
2014,0,Jordão,1200328,Acre
2015,0,Jordão,1200328,Acre
2016,0,Jordão,1200328,Acre
2017,0,Jordão,1200328,Acre
2018,0,Jordão,1200328,Acre
2019,0,Jordão,1200328,Acre
2020,0,Jordão,1200328,Acre
2021,0,Jordão,1200328,Acre
2022,0,Jordão,1200328,Acre
2023,0,Jordão,1200328,Acre
2000,0,Manoel Urbano,1200344,Acre
2001,0,Manoel Urbano,1200344,Acre
2002,0,Manoel Urbano,1200344,Acre
2003,0,Manoel Urbano,1200344,Acre
2004,0,Manoel Urbano,1200344,Acre
2005,0,Manoel Urbano,1200344,Acre
2006,0,Manoel Urbano,1200344,Acre
2007,0,Manoel Urbano,1200344,Acre
2008,0,Manoel Urbano,1200344,Acre
2009,0,Manoel Urbano,1200344,Acre
2010,0,Manoel Urbano,1200344,Acre
2011,0,Manoel Urbano,1200344,Acre
2012,0,Manoel Urbano,1200344,Acre
2013,0,Manoel Urbano,1200344,Acre
2014,0,Manoel Urbano,1200344,Acre
2015,0,Manoel Urbano,1200344,Acre
2016,0,Manoel Urbano,1200344,Acre
2017,0,Manoel Urbano,1200344,Acre
2018,0,Manoel Urbano,1200344,Acre
2019,0,Manoel Urbano,1200344,Acre
2020,0,Manoel Urbano,1200344,Acre
2021,0,Manoel Urbano,1200344,Acre
2022,0,Manoel Urbano,1200344,Acre
2023,0,Manoel Urbano,1200344,Acre
2000,0,Marechal Thaumaturgo,1200351,Acre
2001,0,Marechal Thaumaturgo,1200351,Acre
2002,0,Marechal Thaumaturgo,1200351,Acre
2003,0,Marechal Thaumaturgo,1200351,Acre
2004,0,Marechal Thaumaturgo,1200351,Acre
2005,0,Marechal Thaumaturgo,1200351,Acre
2006,0,Marechal Thaumaturgo,1200351,Acre
2007,0,Marechal Thaumaturgo,1200351,Acre
2008,0,Marechal Thaumaturgo,1200351,Acre
2009,0,Marechal Thaumaturgo,1200351,Acre
2010,0,Marechal Thaumaturgo,1200351,Acre
2011,0.005965008761019349,Marechal Thaumaturgo,1200351,Acre
2012,0.005965008761019349,Marechal Thaumaturgo,1200351,Acre
2013,0.005965008761019349,Marechal Thaumaturgo,1200351,Acre
2014,0,Marechal Thaumaturgo,1200351,Acre
2015,0,Marechal Thaumaturgo,1200351,Acre
2016,0,Marechal Thaumaturgo,1200351,Acre
2017,0,Marechal Thaumaturgo,1200351,Acre
2018,0,Marechal Thaumaturgo,1200351,Acre
2019,0,Marechal Thaumaturgo,1200351,Acre
2020,0,Marechal Thaumaturgo,1200351,Acre
2021,0,Marechal Thaumaturgo,1200351,Acre
2022,0,Marechal Thaumaturgo,1200351,Acre
2023,0,Marechal Thaumaturgo,1200351,Acre
2000,0.04193315484047175,Mâncio Lima,1200336,Acre
2001,0.008825663529665533,Mâncio Lima,1200336,Acre
2002,0.008825663529665533,Mâncio Lima,1200336,Acre
2003,0.04144664098348154,Mâncio Lima,1200336,Acre
2004,0.04144664098348154,Mâncio Lima,1200336,Acre
2005,0.02262337714608945,Mâncio Lima,1200336,Acre
2006,0.02262337714608945,Mâncio Lima,1200336,Acre
2007,0.017515180333974388,Mâncio Lima,1200336,Acre
2008,0.017515180333974388,Mâncio Lima,1200336,Acre
2009,0,Mâncio Lima,1200336,Acre
2010,0,Mâncio Lima,1200336,Acre
2011,0.08288369850215568,Mâncio Lima,1200336,Acre
2012,0.08288369850215568,Mâncio Lima,1200336,Acre
2013,0.08288369850215568,Mâncio Lima,1200336,Acre
2014,0.011383144352289275,Mâncio Lima,1200336,Acre
2015,0,Mâncio Lima,1200336,Acre
2016,0,Mâncio Lima,1200336,Acre
2017,0.08214247145226276,Mâncio Lima,1200336,Acre
2018,0.08214247145226276,Mâncio Lima,1200336,Acre
2019,0,Mâncio Lima,1200336,Acre
2020,0,Mâncio Lima,1200336,Acre
2021,0.07409185397072696,Mâncio Lima,1200336,Acre
2022,0.14731638720074605,Mâncio Lima,1200336,Acre
2023,0.18805139089664313,Mâncio Lima,1200336,Acre
2000,0,Plácido de Castro,1200385,Acre
2001,0,Plácido de Castro,1200385,Acre
2002,0,Plácido de Castro,1200385,Acre
2003,0,Plácido de Castro,1200385,Acre
2004,0,Plácido de Castro,1200385,Acre
2005,0,Plácido de Castro,1200385,Acre
2006,0,Plácido de Castro,1200385,Acre
2007,0,Plácido de Castro,1200385,Acre
2008,0,Plácido de Castro,1200385,Acre
2009,0,Plácido de Castro,1200385,Acre
2010,0,Plácido de Castro,1200385,Acre
2011,0,Plácido de Castro,1200385,Acre
2012,0,Plácido de Castro,1200385,Acre
2013,0,Plácido de Castro,1200385,Acre
2014,0,Plácido de Castro,1200385,Acre
2015,0,Plácido de Castro,1200385,Acre
2016,0,Plácido de Castro,1200385,Acre
2017,0,Plácido de Castro,1200385,Acre
2018,0,Plácido de Castro,1200385,Acre
2019,0,Plácido de Castro,1200385,Acre
2020,0,Plácido de Castro,1200385,Acre
2021,0,Plácido de Castro,1200385,Acre
2022,0,Plácido de Castro,1200385,Acre
2023,0,Plácido de Castro,1200385,Acre
2000,0,Porto Acre,1200807,Acre
2001,0,Porto Acre,1200807,Acre
2002,0,Porto Acre,1200807,Acre
2003,0,Porto Acre,1200807,Acre
2004,0,Porto Acre,1200807,Acre
2005,0,Porto Acre,1200807,Acre
2006,0,Porto Acre,1200807,Acre
2007,0,Porto Acre,1200807,Acre
2008,0,Porto Acre,1200807,Acre
2009,0,Porto Acre,1200807,Acre
2010,0,Porto Acre,1200807,Acre
2011,0,Porto Acre,1200807,Acre
2012,0,Porto Acre,1200807,Acre
2013,0,Porto Acre,1200807,Acre
2014,0,Porto Acre,1200807,Acre
2015,0,Porto Acre,1200807,Acre
2016,0,Porto Acre,1200807,Acre
2017,0,Porto Acre,1200807,Acre
2018,0,Porto Acre,1200807,Acre
2019,0,Porto Acre,1200807,Acre
2020,0,Porto Acre,1200807,Acre
2021,0,Porto Acre,1200807,Acre
2022,0,Porto Acre,1200807,Acre
2023,0,Porto Acre,1200807,Acre
2000,0,Porto Walter,1200393,Acre
2001,0,Porto Walter,1200393,Acre
2002,0,Porto Walter,1200393,Acre
2003,0,Porto Walter,1200393,Acre
2004,0,Porto Walter,1200393,Acre
2005,0,Porto Walter,1200393,Acre
2006,0,Porto Walter,1200393,Acre
2007,0,Porto Walter,1200393,Acre
2008,0,Porto Walter,1200393,Acre
2009,0,Porto Walter,1200393,Acre
2010,0,Porto Walter,1200393,Acre
2011,0,Porto Walter,1200393,Acre
2012,0,Porto Walter,1200393,Acre
2013,0,Porto Walter,1200393,Acre
2014,0,Porto Walter,1200393,Acre
2015,0,Porto Walter,1200393,Acre
2016,0,Porto Walter,1200393,Acre
2017,0,Porto Walter,1200393,Acre
2018,0,Porto Walter,1200393,Acre
2019,0,Porto Walter,1200393,Acre
2020,0,Porto Walter,1200393,Acre
2021,0,Porto Walter,1200393,Acre
2022,0,Porto Walter,1200393,Acre
2023,0,Porto Walter,1200393,Acre
2000,0,Rio Branco,1200401,Acre
2001,0,Rio Branco,1200401,Acre
2002,0,Rio Branco,1200401,Acre
2003,0,Rio Branco,1200401,Acre
2004,0,Rio Branco,1200401,Acre
2005,0,Rio Branco,1200401,Acre
2006,0,Rio Branco,1200401,Acre
2007,0,Rio Branco,1200401,Acre
2008,0,Rio Branco,1200401,Acre
2009,0,Rio Branco,1200401,Acre
2010,0,Rio Branco,1200401,Acre
2011,0,Rio Branco,1200401,Acre
2012,0,Rio Branco,1200401,Acre
2013,0,Rio Branco,1200401,Acre
2014,0,Rio Branco,1200401,Acre
2015,0,Rio Branco,1200401,Acre
2016,0,Rio Branco,1200401,Acre
2017,0,Rio Branco,1200401,Acre
2018,0,Rio Branco,1200401,Acre
2019,0,Rio Branco,1200401,Acre
2020,0,Rio Branco,1200401,Acre
2021,0,Rio Branco,1200401,Acre
2022,0,Rio Branco,1200401,Acre
2023,0,Rio Branco,1200401,Acre
2000,0,Rodrigues Alves,1200427,Acre
2001,0,Rodrigues Alves,1200427,Acre
2002,0,Rodrigues Alves,1200427,Acre
2003,0,Rodrigues Alves,1200427,Acre
2004,0,Rodrigues Alves,1200427,Acre
2005,0,Rodrigues Alves,1200427,Acre
2006,0,Rodrigues Alves,1200427,Acre
2007,0,Rodrigues Alves,1200427,Acre
2008,0,Rodrigues Alves,1200427,Acre
2009,0,Rodrigues Alves,1200427,Acre
2010,0,Rodrigues Alves,1200427,Acre
2011,0,Rodrigues Alves,1200427,Acre
2012,0,Rodrigues Alves,1200427,Acre
2013,0,Rodrigues Alves,1200427,Acre
2014,0,Rodrigues Alves,1200427,Acre
2015,0,Rodrigues Alves,1200427,Acre
2016,0,Rodrigues Alves,1200427,Acre
2017,0,Rodrigues Alves,1200427,Acre
2018,0,Rodrigues Alves,1200427,Acre
2019,0,Rodrigues Alves,1200427,Acre
2020,0,Rodrigues Alves,1200427,Acre
2021,0,Rodrigues Alves,1200427,Acre
2022,0,Rodrigues Alves,1200427,Acre
2023,0,Rodrigues Alves,1200427,Acre
2000,0,Santa Rosa do Purus,1200435,Acre
2001,0,Santa Rosa do Purus,1200435,Acre
2002,0,Santa Rosa do Purus,1200435,Acre
2003,0,Santa Rosa do Purus,1200435,Acre
2004,0,Santa Rosa do Purus,1200435,Acre
2005,0,Santa Rosa do Purus,1200435,Acre
2006,0,Santa Rosa do Purus,1200435,Acre
2007,0,Santa Rosa do Purus,1200435,Acre
2008,0,Santa Rosa do Purus,1200435,Acre
2009,0,Santa Rosa do Purus,1200435,Acre
2010,0,Santa Rosa do Purus,1200435,Acre
2011,0,Santa Rosa do Purus,1200435,Acre
2012,0,Santa Rosa do Purus,1200435,Acre
2013,0,Santa Rosa do Purus,1200435,Acre
2014,0,Santa Rosa do Purus,1200435,Acre
2015,0,Santa Rosa do Purus,1200435,Acre
2016,0,Santa Rosa do Purus,1200435,Acre
2017,0,Santa Rosa do Purus,1200435,Acre
2018,0,Santa Rosa do Purus,1200435,Acre
2019,0.03372305872295916,Santa Rosa do Purus,1200435,Acre
2020,0,Santa Rosa do Purus,1200435,Acre
2021,0,Santa Rosa do Purus,1200435,Acre
2022,0,Santa Rosa do Purus,1200435,Acre
2023,0,Santa Rosa do Purus,1200435,Acre
2000,0.040942449256620835,Sena Madureira,1200500,Acre
2001,0.49164982191248674,Sena Madureira,1200500,Acre
2002,0.49164982191248674,Sena Madureira,1200500,Acre
2003,0.08661515055209203,Sena Madureira,1200500,Acre
2004,0.08661515055209203,Sena Madureira,1200500,Acre
2005,0.040566652551801224,Sena Madureira,1200500,Acre
2006,0.040566652551801224,Sena Madureira,1200500,Acre
2007,0,Sena Madureira,1200500,Acre
2008,0,Sena Madureira,1200500,Acre
2009,0.019706169084184454,Sena Madureira,1200500,Acre
2010,0.019706169084184454,Sena Madureira,1200500,Acre
2011,0.02234536895138352,Sena Madureira,1200500,Acre
2012,0.02234536895138352,Sena Madureira,1200500,Acre
2013,0.02234536895138352,Sena Madureira,1200500,Acre
2014,0.07003178316979727,Sena Madureira,1200500,Acre
2015,0,Sena Madureira,1200500,Acre
2016,0,Sena Madureira,1200500,Acre
2017,0.14925140030955628,Sena Madureira,1200500,Acre
2018,0.14925140030955628,Sena Madureira,1200500,Acre
2019,0,Sena Madureira,1200500,Acre
2020,0.03622247183182414,Sena Madureira,1200500,Acre
2021,0,Sena Madureira,1200500,Acre
2022,0,Sena Madureira,1200500,Acre
2023,0,Sena Madureira,1200500,Acre
2000,0,Senador Guiomard,1200450,Acre
2001,0,Senador Guiomard,1200450,Acre
2002,0,Senador Guiomard,1200450,Acre
2003,0,Senador Guiomard,1200450,Acre
2004,0,Senador Guiomard,1200450,Acre
2005,0,Senador Guiomard,1200450,Acre
2006,0,Senador Guiomard,1200450,Acre
2007,0,Senador Guiomard,1200450,Acre
2008,0,Senador Guiomard,1200450,Acre
2009,0,Senador Guiomard,1200450,Acre
2010,0,Senador Guiomard,1200450,Acre
2011,0,Senador Guiomard,1200450,Acre
2012,0,Senador Guiomard,1200450,Acre
2013,0,Senador Guiomard,1200450,Acre
2014,0,Senador Guiomard,1200450,Acre
2015,0,Senador Guiomard,1200450,Acre
2016,0,Senador Guiomard,1200450,Acre
2017,0,Senador Guiomard,1200450,Acre
2018,0,Senador Guiomard,1200450,Acre
2019,0,Senador Guiomard,1200450,Acre
2020,0,Senador Guiomard,1200450,Acre
2021,0,Senador Guiomard,1200450,Acre
2022,0,Senador Guiomard,1200450,Acre
2023,0,Senador Guiomard,1200450,Acre
2000,0,Tarauacá,1200609,Acre
2001,0,Tarauacá,1200609,Acre
2002,0,Tarauacá,1200609,Acre
2003,0,Tarauacá,1200609,Acre
2004,0,Tarauacá,1200609,Acre
2005,0,Tarauacá,1200609,Acre
2006,0,Tarauacá,1200609,Acre
2007,0,Tarauacá,1200609,Acre
2008,0,Tarauacá,1200609,Acre
2009,0,Tarauacá,1200609,Acre
2010,0,Tarauacá,1200609,Acre
2011,0,Tarauacá,1200609,Acre
2012,0,Tarauacá,1200609,Acre
2013,0,Tarauacá,1200609,Acre
2014,0,Tarauacá,1200609,Acre
2015,0,Tarauacá,1200609,Acre
2016,0,Tarauacá,1200609,Acre
2017,0,Tarauacá,1200609,Acre
2018,0,Tarauacá,1200609,Acre
2019,0,Tarauacá,1200609,Acre
2020,0,Tarauacá,1200609,Acre
2021,0,Tarauacá,1200609,Acre
2022,0,Tarauacá,1200609,Acre
2023,0,Tarauacá,1200609,Acre
2000,0,Xapuri,1200708,Acre
2001,0,Xapuri,1200708,Acre
2002,0,Xapuri,1200708,Acre
2003,0,Xapuri,1200708,Acre
2004,0,Xapuri,1200708,Acre
2005,0,Xapuri,1200708,Acre
2006,0,Xapuri,1200708,Acre
2007,0,Xapuri,1200708,Acre
2008,0,Xapuri,1200708,Acre
2009,0,Xapuri,1200708,Acre
2010,0,Xapuri,1200708,Acre
2011,0,Xapuri,1200708,Acre
2012,0,Xapuri,1200708,Acre
2013,0,Xapuri,1200708,Acre
2014,0,Xapuri,1200708,Acre
2015,0,Xapuri,1200708,Acre
2016,0,Xapuri,1200708,Acre
2017,0,Xapuri,1200708,Acre
2018,0,Xapuri,1200708,Acre
2019,0,Xapuri,1200708,Acre
2020,0,Xapuri,1200708,Acre
2021,0,Xapuri,1200708,Acre
2022,0,Xapuri,1200708,Acre
2023,0,Xapuri,1200708,Acre
2000,6.353565897624902,Amapá,1600105,Amapá
2001,0.6365698698602115,Amapá,1600105,Amapá
2002,0.6365698698602115,Amapá,1600105,Amapá
2003,0.08007689144029684,Amapá,1600105,Amapá
2004,0.08007689144029684,Amapá,1600105,Amapá
2005,0.8943806875948842,Amapá,1600105,Amapá
2006,0.8943806875948842,Amapá,1600105,Amapá
2007,0.09228996940150579,Amapá,1600105,Amapá
2008,0.09228996940150579,Amapá,1600105,Amapá
2009,0.7049777648046052,Amapá,1600105,Amapá
2010,0.7049777648046052,Amapá,1600105,Amapá
2011,1.4097796299560499,Amapá,1600105,Amapá
2012,1.4097796299560499,Amapá,1600105,Amapá
2013,1.4097796299560499,Amapá,1600105,Amapá
2014,0.2698537620039119,Amapá,1600105,Amapá
2015,0.5396744802955427,Amapá,1600105,Amapá
2016,0.5396744802955427,Amapá,1600105,Amapá
2017,0.29657300780906193,Amapá,1600105,Amapá
2018,0.29657300780906193,Amapá,1600105,Amapá
2019,2.0665724239272327,Amapá,1600105,Amapá
2020,2.5000862447474788,Amapá,1600105,Amapá
2021,0.8529327288086012,Amapá,1600105,Amapá
2022,0.5443248730208039,Amapá,1600105,Amapá
2023,0.6267873478497364,Amapá,1600105,Amapá
2000,4.586241110395198,Calçoene,1600204,Amapá
2001,0.3591830213123205,Calçoene,1600204,Amapá
2002,0.3591830213123205,Calçoene,1600204,Amapá
2003,0.323374507390743,Calçoene,1600204,Amapá
2004,0.323374507390743,Calçoene,1600204,Amapá
2005,0.7569105949317149,Calçoene,1600204,Amapá
2006,0.7569105949317149,Calçoene,1600204,Amapá
2007,0.33810582723356863,Calçoene,1600204,Amapá
2008,0.33810582723356863,Calçoene,1600204,Amapá
2009,0.08480498215260493,Calçoene,1600204,Amapá
2010,0.08480498215260493,Calçoene,1600204,Amapá
2011,0.29461623629396194,Calçoene,1600204,Amapá
2012,0.29461623629396194,Calçoene,1600204,Amapá
2013,0.29461623629396194,Calçoene,1600204,Amapá
2014,0.3208347074544508,Calçoene,1600204,Amapá
2015,0.29746046247902663,Calçoene,1600204,Amapá
2016,0.29746046247902663,Calçoene,1600204,Amapá
2017,0.0716448023426209,Calçoene,1600204,Amapá
2018,0.0716448023426209,Calçoene,1600204,Amapá
2019,0.11121512552115415,Calçoene,1600204,Amapá
2020,0.7896527381248533,Calçoene,1600204,Amapá
2021,0.1461795897690085,Calçoene,1600204,Amapá
2022,0.05634760273658544,Calçoene,1600204,Amapá
2023,0.46220160746325795,Calçoene,1600204,Amapá
2000,10.61660200029319,Cutias,1600212,Amapá
2001,0.1534718387960624,Cutias,1600212,Amapá
2002,0.1534718387960624,Cutias,1600212,Amapá
2003,0.03444124094153868,Cutias,1600212,Amapá
2004,0.03444124094153868,Cutias,1600212,Amapá
2005,4.338554803190869,Cutias,1600212,Amapá
2006,4.338554803190869,Cutias,1600212,Amapá
2007,0.4740309213236222,Cutias,1600212,Amapá
2008,0.4740309213236222,Cutias,1600212,Amapá
2009,0.7137559129493857,Cutias,1600212,Amapá
2010,0.7137559129493857,Cutias,1600212,Amapá
2011,0.04563970314979025,Cutias,1600212,Amapá
2012,0.04563970314979025,Cutias,1600212,Amapá
2013,0.04563970314979025,Cutias,1600212,Amapá
2014,0.11450261817678467,Cutias,1600212,Amapá
2015,0.19824897773911748,Cutias,1600212,Amapá
2016,0.19824897773911748,Cutias,1600212,Amapá
2017,0.42740767957367565,Cutias,1600212,Amapá
2018,0.42740767957367565,Cutias,1600212,Amapá
2019,5.905859420014172,Cutias,1600212,Amapá
2020,0.05744360951782678,Cutias,1600212,Amapá
2021,0.5935315205221956,Cutias,1600212,Amapá
2022,0,Cutias,1600212,Amapá
2023,0.0427823210408545,Cutias,1600212,Amapá
2000,436.16588969564543,Ferreira Gomes,1600238,Amapá
2001,82.71314005272859,Ferreira Gomes,1600238,Amapá
2002,82.71314005272859,Ferreira Gomes,1600238,Amapá
2003,15.844797171754818,Ferreira Gomes,1600238,Amapá
2004,15.844797171754818,Ferreira Gomes,1600238,Amapá
2005,4.239241806855185,Ferreira Gomes,1600238,Amapá
2006,4.239241806855185,Ferreira Gomes,1600238,Amapá
2007,1.174541659537288,Ferreira Gomes,1600238,Amapá
2008,1.174541659537288,Ferreira Gomes,1600238,Amapá
2009,1.1985839890412273,Ferreira Gomes,1600238,Amapá
2010,1.1985839890412273,Ferreira Gomes,1600238,Amapá
